
| Nombre    | Apellido     |  Cedula      |Cantidad    |Valor total a pagar
|edith     |chuico       |2350796842       |1             |1.0             |

| Nombre    | Apellido     |  Cedula      |Cantidad    |Valor total a pagar
|fgt     |bjh       |2350370964       |1             |1.0             |

| Nombre    | Apellido     |  Cedula      |Cantidad    |Valor total a pagar
|edd     |rff       |2350370968       |1             |1.5             |

| Nombre    | Apellido     |  Cedula      |Cantidad    |Valor total a pagar
|edith     |chuico       |2350370967       |2             |2.5             |

| Nombre    | Apellido     |  Cedula      |Cantidad    |Valor total a pagar
|edith     |chuico       |2356987468       |2             |2.5             |

| Nombre    | Apellido     |  Cedula      |Cantidad    |Valor total a pagar
|Julio     |Hernandez       |2350968749       |1             |1.0             |

| Nombre    | Apellido     |  Cedula      |Cantidad    |Valor total a pagar
|Antony     |Mendoza       |5698741236       |1             |1.0             |

| Nombre    | Apellido     |  Cedula      |Cantidad    |Valor total a pagar
|Edith     |Chuico       |2350370967       |1             |1.5             |

| Nombre    | Apellido     |  Cedula      |Cantidad    |Valor total a pagar
|Edith     |Chuico       |2350370967       |1             |1.0             |
